date,datetime,timestamp,season,away,away_code,away_pts,home,home_code,home_pts,overtime,type,boxscore
4/9/2023,4/9/2023 15:30,1681054200,2023,Los Angeles Clippers,LAC,119,Phoenix Suns,PHO,114,,,https://www.basketball-reference.com/boxscores/202304090PHO.html
4/9/2023,4/9/2023 15:30,1681054200,2023,Golden State Warriors,GSW,157,Portland Trail Blazers,POR,101,,,https://www.basketball-reference.com/boxscores/202304090POR.html
4/11/2023,4/11/2023 19:30,1681241400,2023,Atlanta Hawks,ATL,116,Miami Heat,MIA,105,,Play-In Game,https://www.basketball-reference.com/boxscores/202304110MIA.html
4/11/2023,4/11/2023 22:00,1681250400,2023,Minnesota Timberwolves,MIN,102,Los Angeles Lakers,LAL,108,OT,Play-In Game,https://www.basketball-reference.com/boxscores/202304110LAL.html
4/12/2023,4/12/2023 19:00,1681326000,2023,Chicago Bulls,CHI,109,Toronto Raptors,TOR,105,,Play-In Game,https://www.basketball-reference.com/boxscores/202304120TOR.html
4/12/2023,4/12/2023 21:30,1681335000,2023,Oklahoma City Thunder,OKC,123,New Orleans Pelicans,NOP,118,,Play-In Game,https://www.basketball-reference.com/boxscores/202304120NOP.html
4/14/2023,4/14/2023 19:00,1681498800,2023,Chicago Bulls,CHI,91,Miami Heat,MIA,102,,Play-In Game,https://www.basketball-reference.com/boxscores/202304140MIA.html
4/14/2023,4/14/2023 21:30,1681507800,2023,Oklahoma City Thunder,OKC,95,Minnesota Timberwolves,MIN,120,,Play-In Game,https://www.basketball-reference.com/boxscores/202304140MIN.html
4/15/2023,4/15/2023 13:00,1681563600,2023,Brooklyn Nets,BRK,101,Philadelphia 76ers,PHI,121,,,https://www.basketball-reference.com/boxscores/202304150PHI.html
4/15/2023,4/15/2023 15:30,1681572600,2023,Atlanta Hawks,ATL,99,Boston Celtics,BOS,112,,,https://www.basketball-reference.com/boxscores/202304150BOS.html
4/15/2023,4/15/2023 18:00,1681581600,2023,New York Knicks,NYK,101,Cleveland Cavaliers,CLE,97,,,https://www.basketball-reference.com/boxscores/202304150CLE.html
4/15/2023,4/15/2023 20:30,1681590600,2023,Golden State Warriors,GSW,123,Sacramento Kings,SAC,126,,,https://www.basketball-reference.com/boxscores/202304150SAC.html
4/16/2023,4/16/2023 15:00,1681657200,2023,Los Angeles Lakers,LAL,128,Memphis Grizzlies,MEM,112,,,https://www.basketball-reference.com/boxscores/202304160MEM.html
4/16/2023,4/16/2023 17:30,1681666200,2023,Miami Heat,MIA,130,Milwaukee Bucks,MIL,117,,,https://www.basketball-reference.com/boxscores/202304160MIL.html
4/16/2023,4/16/2023 20:00,1681675200,2023,Los Angeles Clippers,LAC,115,Phoenix Suns,PHO,110,,,https://www.basketball-reference.com/boxscores/202304160PHO.html
4/16/2023,4/16/2023 22:30,1681684200,2023,Minnesota Timberwolves,MIN,80,Denver Nuggets,DEN,109,,,https://www.basketball-reference.com/boxscores/202304160DEN.html
